secretaria_nombre;reparticion_nombre;es_secretaria
Intendencia;Intendencia;1
Intendencia;Secretaría Privada;0
Concejo Deliberante de Lago Puelo;Concejo Deliberante de Lago Puelo;1
Concejo Deliberante de Lago Puelo;Secretaría Legislativa;0
Secretaría de Economía y Finanzas;Dirección de Economía;0
Secretaría de Economía y Finanzas;Departamento Contable;0
Secretaría de Economía y Finanzas;Departamento Compras y Suministros;0
Secretaría de Economía y Finanzas;Departamento de Licitaciones;0
Secretaría de Economía y Finanzas;Departamento de Sistemas;0
Secretaría de Economía y Finanzas;Dirección de Rentas;0
Secretaría de Economía y Finanzas;Secretaría de Economía y Finanzas;1
Secretaría de Gobierno y Administración;Dirección de Administración;0
Secretaría de Gobierno y Administración;Departamento Atención Integral de Discapacidad;0
Secretaría de Gobierno y Administración;Dirección de Desarrollo Social;0
Secretaría de Gobierno y Administración;Departamento de Adultos Mayores;0
Secretaría de Gobierno y Administración;Departamento de Bromatología;0
Secretaría de Gobierno y Administración;Departamento Comercio;0
Secretaría de Gobierno y Administración;Departamento Género y Diversidad;0
Secretaría de Gobierno y Administración;Departamento de Juntas Vecinales;0
Secretaría de Gobierno y Administración;Departamento Licencias de Conducir;0
Secretaría de Gobierno y Administración;Departamento de Medio Ambiente;0
Secretaría de Gobierno y Administración;Departamento de la Mujer y la Familia;0
Secretaría de Gobierno y Administración;Departamento Prensa y Ceremonial;0
Secretaría de Gobierno y Administración;Departamento Seguridad Institucional;0
Secretaría de Gobierno y Administración;Departamento de Tránsito;0
Secretaría de Gobierno y Administración;División Casa de los Abuelos;0
Secretaría de Gobierno y Administración;Dirección de Inspectoría General;0
Secretaría de Gobierno y Administración;Departamento Patrimonial;0
Secretaría de Gobierno y Administración;Dirección de Protección Ciudadana;0
Secretaría de Gobierno y Administración;Departamento de personal;0
Secretaría de Gobierno y Administración;Departamento de Protección Civil;0
Secretaría de Gobierno y Administración;Departamento Economía Social y Oficina de Empleo;0
Secretaría de Gobierno y Administración;Secretaría de Gobierno y Administración;1
Secretaría Legal y Técnica;Secretaría Legal y Técnica;1
Secretaría de Obras y Servicios Públicos;Departamento Alumbrado Público;0
Secretaría de Obras y Servicios Públicos;Departamento Espacios Públicos;0
Secretaría de Obras y Servicios Públicos;Departamento Técnico;0
Secretaría de Obras y Servicios Públicos;Departamento Vial;0
Secretaría de Obras y Servicios Públicos;Dirección de Obras Particulares;0
Secretaría de Obras y Servicios Públicos;Dirección de Obras y Servicios Públicos;0
Secretaría de Obras y Servicios Públicos;Departamento Parque Automotor;0
Secretaría de Obras y Servicios Públicos;Dirección de Redes de Agua;0
Secretaría de Obras y Servicios Públicos;Secretaría de Obras y Servicios Públicos;1
Secretaría de Obras y Servicios Públicos;Subsecretaría de Obras y Servicios Públicos;0
Secretaría de Turismo, Producción, Cultura y Deportes;Dirección de Cultura;0
Secretaría de Turismo, Producción, Cultura y Deportes;Dirección de Deportes;0
Secretaría de Turismo, Producción, Cultura y Deportes;Departamento Juventud;0
Secretaría de Turismo, Producción, Cultura y Deportes;División de Gestión de Cannabis;0
Secretaría de Turismo, Producción, Cultura y Deportes;Dirección de Producción;0
Secretaría de Turismo, Producción, Cultura y Deportes;Dirección de Turismo;0
Secretaría de Turismo, Producción, Cultura y Deportes;Secretaría de Turismo, Producción, Cultura y Deportes;1
